StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
dev-as7712-32x-01,Ethernet0,dev-sn2700-01,Eth1/9/1,10000,1681,Access
dev-as7712-32x-01,Ethernet4,dev-sn2700-01,Eth1/9/2,10000,1682,Access
dev-as7712-32x-01,Ethernet8,dev-sn2700-01,Eth1/9/3,10000,1683,Access
dev-as7712-32x-01,Ethernet12,dev-sn2700-01,Eth1/9/4,10000,1684,Access
dev-as7712-32x-01,Ethernet16,dev-sn2700-01,Eth1/11/1,10000,1685,Access
dev-as7712-32x-01,Ethernet20,dev-sn2700-01,Eth1/11/2,10000,1686,Access
dev-as7712-32x-01,Ethernet24,dev-sn2700-01,Eth1/11/3,10000,1687,Access
dev-as7712-32x-01,Ethernet28,dev-sn2700-01,Eth1/11/4,10000,1688,Access
dev-as7712-32x-01,Ethernet32,dev-sn2700-01,Eth1/13/1,10000,1689,Access
dev-as7712-32x-01,Ethernet36,dev-sn2700-01,Eth1/13/2,10000,1690,Access
dev-as7712-32x-01,Ethernet40,dev-sn2700-01,Eth1/13/3,10000,1691,Access
dev-as7712-32x-01,Ethernet44,dev-sn2700-01,Eth1/13/4,10000,1692,Access
dev-as7712-32x-01,Ethernet48,dev-sn2700-01,Eth1/15/1,10000,1693,Access
dev-as7712-32x-01,Ethernet52,dev-sn2700-01,Eth1/15/2,10000,1694,Access
dev-as7712-32x-01,Ethernet56,dev-sn2700-01,Eth1/15/3,10000,1695,Access
dev-as7712-32x-01,Ethernet60,dev-sn2700-01,Eth1/15/4,10000,1696,Access
dev-as7712-32x-01,Ethernet64,dev-sn2700-01,Eth1/17/1,10000,1697,Access
dev-as7712-32x-01,Ethernet68,dev-sn2700-01,Eth1/17/2,10000,1698,Access
dev-as7712-32x-01,Ethernet72,dev-sn2700-01,Eth1/17/3,10000,1699,Access
dev-as7712-32x-01,Ethernet76,dev-sn2700-01,Eth1/17/4,10000,1700,Access
dev-as7712-32x-01,Ethernet80,dev-sn2700-01,Eth1/19/1,10000,1701,Access
dev-as7712-32x-01,Ethernet84,dev-sn2700-01,Eth1/19/2,10000,1702,Access
dev-as7712-32x-01,Ethernet88,dev-sn2700-01,Eth1/19/3,10000,1703,Access
dev-as7712-32x-01,Ethernet92,dev-sn2700-01,Eth1/19/4,10000,1704,Access
dev-as7712-32x-01,Ethernet96,dev-sn2700-01,Eth1/21/1,10000,1705,Access
dev-as7712-32x-01,Ethernet100,dev-sn2700-01,Eth1/21/2,10000,1706,Access
dev-as7712-32x-01,Ethernet104,dev-sn2700-01,Eth1/21/3,10000,1707,Access
dev-as7712-32x-01,Ethernet108,dev-sn2700-01,Eth1/21/4,10000,1708,Access
dev-as7712-32x-01,Ethernet112,dev-sn2700-01,Eth1/23/1,10000,1709,Access
dev-as7712-32x-01,Ethernet116,dev-sn2700-01,Eth1/23/2,10000,1710,Access
dev-as7712-32x-01,Ethernet120,dev-sn2700-01,Eth1/23/3,10000,1711,Access
dev-as7712-32x-01,Ethernet124,dev-sn2700-01,Eth1/23/4,10000,1712,Access
dev-sn2700-01,Eth1/31,str-acs-serv-01,p4p1,40000,1681-1712,Trunk    # Eth1/31?
#todo(adovhan) add links (dut,fanout) p4p1 / Eth1/31 ?
